user_loc,fr_loc,scaled_sci
Armenia,Cambodia,101
Armenia,Kiribati,116
Armenia,Comoros,139
Armenia,"Korea, Republic of",312
Armenia,Kuwait,3468
Armenia,Cayman Islands,1286
Armenia,Kazakhstan,8515
Armenia,Lao People's Democratic Republic,96
Armenia,Lebanon,30863
Armenia,Saint Lucia,223
Armenia,Sri Lanka,484
Armenia,Liberia,735
Armenia,Lesotho,74
Armenia,Lithuania,4315
Armenia,Luxembourg,6813
Armenia,Latvia,7941
Armenia,Libya,209
Armenia,Morocco,506
Armenia,"Moldova, Republic of",5765
Armenia,Montenegro,3237
Armenia,Madagascar,248
Armenia,North Macedonia,1884
Armenia,Mali,237
Armenia,Myanmar,56
Armenia,Mongolia,510
Armenia,Macao,223
Armenia,Martinique,149
Armenia,Mauritania,173
Armenia,Malta,4509
Armenia,Mauritius,329
Armenia,Maldives,1103
Armenia,Malawi,150
Armenia,Mexico,149
Armenia,Malaysia,145
Armenia,Mozambique,192
Armenia,New Caledonia,188
Armenia,Niger,221
Armenia,Nigeria,447
Armenia,Nicaragua,125
Armenia,Netherlands,5433
Armenia,Norway,1302
Armenia,Nepal,122
Armenia,New Zealand,381
Armenia,Oman,798
Armenia,Panama,203
Armenia,Peru,160
Armenia,French Polynesia,898
Armenia,Papua New Guinea,221
Armenia,Philippines,210
Armenia,Pakistan,338
Armenia,Poland,2460
Armenia,Puerto Rico,269
Armenia,Portugal,959
Armenia,Paraguay,156
Armenia,Qatar,1704
Armenia,Réunion,144
Armenia,Romania,1134
Armenia,Serbia,1712
Armenia,Rwanda,413
Armenia,Saudi Arabia,377
Armenia,Solomon Islands,243
Armenia,Seychelles,612
Armenia,Sweden,5449
Armenia,Singapore,420
Armenia,Slovenia,1103
Armenia,Slovakia,1209
Armenia,Sierra Leone,784
Armenia,Senegal,360
Armenia,Suriname,210
Armenia,Sao Tome and Principe,132
Armenia,El Salvador,102
Armenia,Eswatini,165
Armenia,Chad,144
Armenia,Togo,495
Armenia,Thailand,119
Armenia,Tajikistan,8378
Armenia,Timor-Leste,127
Armenia,Tunisia,628
Armenia,Tonga,208
Armenia,Türkiye,1370
Armenia,Trinidad and Tobago,223
Armenia,"Taiwan, Province of China",124
Armenia,"Tanzania, United Republic of",282
Armenia,Ukraine,14340
Armenia,Uganda,467
Armenia,United States,3644
Armenia,Uruguay,975
Armenia,Uzbekistan,6464
Armenia,Saint Vincent and the Grenadines,375
Armenia,Viet Nam,85
Armenia,Vanuatu,167
Armenia,Samoa,85
Armenia,Kosovo,776
Armenia,Mayotte,97
Armenia,South Africa,113
Armenia,Zambia,252
Armenia,Zimbabwe,182
Angola,United Arab Emirates,2326
Angola,Antigua and Barbuda,4539
Angola,Albania,689
Angola,Armenia,298
Angola,Angola,16815996
Angola,Argentina,1235
Angola,Austria,639
Angola,Australia,291
Angola,Aruba,1214
Angola,Azerbaijan,910
Angola,Bosnia and Herzegovina,393
Angola,Barbados,2033
Angola,Bangladesh,1479
Angola,Belgium,5111
Angola,Burkina Faso,19899
Angola,Bulgaria,664
Angola,Bahrain,1510
Angola,Burundi,18830
Angola,Benin,27847
Angola,Brunei Darussalam,555
Angola,"Bolivia, Plurinational State of",1488
Angola,Brazil,12386
Angola,Bahamas,2724
Angola,Bhutan,380
Angola,Botswana,25727
Angola,Belarus,1052
Angola,Belize,1967
Angola,Canada,1403
Angola,"Congo, The Democratic Republic of the",221090
Angola,Central African Republic,19593
Angola,Congo,141128
Angola,Switzerland,4437
Angola,Côte d'Ivoire,32817
Angola,Chile,867
Angola,Cameroon,19607
Angola,Colombia,1878
Angola,Costa Rica,1302
Angola,Cabo Verde,317664
Angola,Curaçao,1826
Angola,Cyprus,3385
Angola,Czechia,339
Angola,Germany,1434
Angola,Djibouti,4317
Angola,Denmark,449
Angola,Dominican Republic,6804
Angola,Algeria,1715
Angola,Ecuador,1414
Angola,Estonia,204
Angola,Egypt,1258
Angola,Spain,1464
Angola,Ethiopia,3278
Angola,Finland,798
Angola,Fiji,1493
Angola,"Micronesia, Federated States of",386
Angola,France,6062
Angola,Gabon,37827
Angola,United Kingdom,3015
Angola,Grenada,5182
Angola,Georgia,497
Angola,French Guiana,8289
Angola,Ghana,14043
Angola,Gambia,35052
Angola,Guinea,86428
Angola,Guadeloupe,3178
Angola,Equatorial Guinea,40187
Angola,Greece,3534
Angola,Guatemala,1044
Angola,Guam,397
Angola,Guinea-Bissau,343468
Angola,Guyana,4893
Angola,Hong Kong,236
Angola,Honduras,1887
Angola,Croatia,368
Angola,Haiti,15809
Angola,Hungary,526
Angola,Indonesia,755
Angola,Ireland,1661
Angola,Isle of Man,223
Angola,India,807
Angola,Iceland,1037
Angola,Italy,1095
Angola,Jersey,2432
Angola,Jamaica,8265
Angola,Jordan,896
Angola,Japan,208
Angola,Kenya,18738
Angola,Kyrgyzstan,304
Angola,Cambodia,340
Angola,Kiribati,2649
Angola,Comoros,5918
Angola,"Korea, Republic of",242
Angola,Kuwait,1190
Angola,Cayman Islands,2307
Angola,Kazakhstan,506
Angola,Lao People's Democratic Republic,258
Angola,Lebanon,5069
Angola,Saint Lucia,4044
Angola,Sri Lanka,1176
Angola,Liberia,31446
Angola,Lesotho,13237
Angola,Lithuania,238
Angola,Luxembourg,11373
Angola,Latvia,315
Angola,Libya,1579
Angola,Morocco,2476
Angola,"Moldova, Republic of",341
Angola,Montenegro,631
Angola,Madagascar,14281
Angola,North Macedonia,611
Angola,Mali,30127
Angola,Myanmar,189
Angola,Mongolia,262
Angola,Macao,1201
Angola,Martinique,2223
Angola,Mauritania,55699
Angola,Malta,1131
Angola,Mauritius,1931
Angola,Maldives,1310
Angola,Malawi,13172
Angola,Mexico,1020
Angola,Malaysia,429
Angola,Mozambique,779423
Angola,New Caledonia,537
Angola,Niger,12845
Angola,Nigeria,6228
Angola,Nicaragua,2399
Angola,Netherlands,2039
Angola,Norway,943
Angola,Nepal,417
Angola,New Zealand,235
Angola,Oman,1755
Angola,Panama,2040
Angola,Peru,1120
Angola,French Polynesia,281
Angola,Papua New Guinea,9110
Angola,Philippines,1158
Angola,Pakistan,1826
Angola,Poland,361
Angola,Puerto Rico,757
Angola,Portugal,105487
Angola,Paraguay,3363
Angola,Qatar,2063
Angola,Réunion,1396
Angola,Romania,849
Angola,Serbia,692
Angola,Rwanda,15856
Angola,Saudi Arabia,1658
Angola,Solomon Islands,3526
Angola,Seychelles,3412
Angola,Sweden,1103
Angola,Singapore,361
Angola,Slovenia,349
Angola,Slovakia,360
Angola,Sierra Leone,31486
Angola,Senegal,22513
Angola,Suriname,5702
Angola,Sao Tome and Principe,1176889
Angola,El Salvador,1036
Angola,Eswatini,24929
Angola,Chad,11978
Angola,Togo,22735
Angola,Thailand,163
Angola,Tajikistan,821
